sample_id,inference_ms,db_write_ms
1000,26.55,3.9
1001,28.09,3.22
1002,27.55,2.28
1003,26.56,1.72
1004,26.76,2.94
1005,26.12,2.6
1006,27.83,3.18
1007,26.48,2.87
1008,26.5,3.39
1009,26.77,1.8
1010,28.16,3.77
1011,27.16,2.41
1012,26.8,5.1
1013,27.04,1.69
1014,26.16,4.46
1015,27.84,2.41
1016,25.56,1.72
1017,27.11,1.83
1018,25.84,1.96
1019,26.28,2.64
1020,28.24,2.74
1021,27.57,1.77
1022,27.08,2.2
1023,27.07,5.24
1024,26.92,4.44
1025,28.64,2.65
1026,26.82,2.26
1027,26.3,2.34
1028,26.53,2.84
1029,27.4,1.48
1030,27.15,2.01
1031,27.52,1.14
1032,27.07,2.61
1033,26.63,2.88
1034,26.29,1.83
1035,26.73,4.18
1036,25.99,1.36
1037,25.96,1.24
1038,26.64,2.43
1039,27.3,3.38
1040,25.82,4.36
1041,26.85,1.85
1042,26.04,3.43
1043,26.65,2.19
1044,26.39,2.08
1045,26.51,3.17
1046,26.33,2.89
1047,27.55,1.18
1048,28.07,4.02
1049,25.7,3.87
1050,26.85,1.73
1051,26.89,2.61
1052,26.08,2.71
1053,26.28,2.47
1054,25.95,1.79
1055,26.75,1.7
1056,27.44,2.2
1057,25.5,3.56
1058,26.13,2.77
1059,27.31,1.92
1060,26.28,3.03
1061,26.7,0.71
1062,27.37,3.52
1063,17.47,1.11
1064,26.63,1.93
1065,27.28,1.42
1066,26.87,1.33
1067,25.39,3.54
1068,31.05,1.85
1069,27.77,2.56
1070,27.02,2.18
1071,26.79,2.69
1072,29.23,2.29
1073,27.05,1.33
1074,26.34,3.32
1075,28.87,1.83
1076,27.22,1.19
1077,26.7,1.88
1078,29.41,4.06
1079,27.48,3.13
1080,28.26,1.94
1081,29.1,1.94
1082,31.39,1.96
1083,26.91,5.11
1084,26.97,2.59
1085,26.61,2.64
1086,25.98,3.36
1087,26.49,2.45
1088,27.33,2.01
1089,28.31,2.06
1090,30.2,2.16
1091,27.16,2.19
1092,28.57,2.98
1093,26.18,2.27
1094,26.45,2.98
1095,26.45,2.15
1096,26.51,2.3
1097,27.24,1.0
1098,26.29,3.21
1099,27.86,2.56
1100,27.38,3.32
1101,26.45,0.7
1102,26.14,5.13
1103,27.98,2.1
1104,26.39,3.47
1105,26.73,1.47
1106,27.16,2.84
1107,27.93,1.46
1108,27.54,1.73
1109,52.01,4.79
1110,26.33,2.06
1111,25.81,2.43
1112,27.13,3.15
1113,28.23,2.71
1114,25.94,2.36
1115,25.42,2.58
1116,26.43,5.82
1117,26.65,2.17
1118,27.46,2.41
1119,25.73,3.39
1120,26.42,3.46
1121,25.84,3.58
1122,17.72,2.87
1123,26.04,1.41
1124,28.59,4.28
1125,27.69,1.41
1126,25.71,2.51
1127,25.74,1.65
1128,26.93,2.17
1129,26.25,2.54
1130,26.59,2.53
1131,26.14,2.63
1132,27.47,4.24
1133,26.72,2.67
1134,26.13,2.02
1135,27.03,3.27
1136,26.41,3.58
1137,28.62,1.36
1138,27.56,2.83
1139,27.05,2.95
1140,27.77,1.98
1141,26.43,3.86
1142,25.9,2.1
1143,27.29,2.34
1144,26.19,2.08
1145,26.18,2.24
1146,27.61,1.44
1147,27.75,1.25
1148,27.67,4.21
1149,27.05,1.59
1150,27.89,1.5
1151,26.17,0.94
1152,27.82,1.72
1153,28.58,1.31
1154,27.99,4.29
1155,27.2,3.33
1156,28.33,1.69
1157,26.53,5.48
1158,27.06,3.3
1159,27.55,1.95
1160,26.9,0.82
1161,27.1,5.56
1162,28.4,1.28
1163,27.43,1.15
1164,28.26,3.35
1165,26.76,5.91
1166,27.09,3.87
1167,26.57,2.79
1168,27.96,2.82
1169,27.15,3.13
1170,27.29,3.01
1171,26.83,2.49
1172,27.65,2.32
1173,28.81,2.17
1174,28.94,1.65
1175,27.33,1.99
1176,27.13,1.13
1177,27.74,2.14
1178,28.1,1.5
1179,27.66,1.43
1180,26.32,2.39
1181,29.0,3.88
1182,26.85,3.21
1183,26.67,1.19
1184,27.96,1.5
1185,26.48,3.24
1186,27.14,1.5
1187,27.03,2.03
1188,27.64,2.77
1189,25.7,1.51
1190,26.77,2.32
1191,27.55,1.31
1192,26.37,1.75
1193,26.13,2.53
1194,28.12,1.18
1195,27.09,2.65
1196,25.58,2.21
1197,27.37,2.78
1198,26.53,2.43
1199,28.23,3.84
1200,25.77,2.34
1201,26.94,1.87
1202,25.31,2.34
1203,28.76,2.77
1204,26.88,2.27
1205,26.12,2.26
1206,25.6,1.68
1207,26.0,1.71
1208,29.16,1.27
1209,26.26,4.48
1210,26.94,1.35
1211,26.61,1.69
1212,26.49,1.67
1213,27.97,3.18
1214,27.26,1.98
1215,26.24,3.67
1216,27.1,1.7
1217,29.24,2.49
1218,28.0,1.59
1219,27.83,5.25
1220,26.25,1.38
1221,25.93,2.52
1222,25.72,2.87
1223,26.57,2.63
1224,26.31,2.07
1225,26.95,2.11
1226,25.95,2.26
1227,26.2,2.1
1228,27.56,3.27
1229,25.68,5.39
1230,28.5,1.78
1231,26.9,1.29
1232,27.87,2.15
1233,26.12,6.25
1234,27.35,1.61
1235,26.19,4.29
1236,26.24,4.35
1237,25.77,1.78
1238,27.98,2.79
1239,26.11,4.27
1240,26.3,1.91
1241,28.23,2.05
1242,26.43,1.76
1243,28.13,1.48
1244,27.22,1.72
1245,31.62,1.36
1246,26.17,2.26
1247,26.14,1.64
1248,28.35,2.44
1249,26.37,1.19
1250,26.62,2.54
1251,26.83,3.11
1252,27.13,1.0
1253,27.02,2.58
1254,25.38,3.64
1255,25.95,1.37
1256,26.9,4.35
1257,27.39,2.63
1258,28.64,1.68
1259,26.03,2.18
1260,26.94,2.78
1261,25.82,2.29
1262,26.48,2.76
1263,53.04,1.54
1264,26.86,2.38
1265,26.56,1.26
1266,26.26,2.13
1267,27.67,1.55
1268,26.98,1.66
1269,27.11,3.65
1270,26.61,3.44
1271,40.51,2.84
1272,28.09,1.44
1273,26.15,1.96
1274,27.03,3.62
1275,26.49,2.36
1276,26.73,5.63
1277,26.87,2.6
1278,28.32,2.4
1279,29.15,1.97
1280,26.66,2.35
1281,28.5,2.09
1282,25.87,2.95
1283,27.15,3.26
1284,25.87,1.63
1285,27.81,1.31
1286,26.22,1.07
1287,26.75,2.73
1288,27.98,1.43
1289,27.02,0.94
1290,26.25,2.6
1291,26.77,6.03
1292,25.58,2.22
1293,27.26,3.11
1294,26.65,2.3
1295,27.35,2.14
1296,26.88,3.21
1297,27.7,1.98
1298,26.24,2.48
1299,25.73,2.53
1300,26.07,1.7
1301,26.04,3.31
1302,25.27,2.08
1303,30.41,1.64
1304,27.15,2.76
1305,28.41,1.55
1306,27.89,2.25
1307,28.06,2.22
1308,25.65,3.44
1309,26.92,2.69
