sample_id,inference_ms,db_write_ms
726,0.81,0.22
727,0.82,0.22
728,0.96,0.31
729,1.06,3.83
730,0.91,0.48
731,0.98,0.25
732,1.02,0.28
733,0.77,0.24
734,0.88,0.22
735,0.8,0.21
736,0.81,0.22
737,0.81,0.21
738,0.83,0.22
739,0.71,0.26
740,0.7,0.2
741,0.82,0.21
742,0.74,0.27
743,0.81,0.2
744,0.7,0.54
745,0.82,0.25
746,0.83,0.26
747,0.83,0.22
748,0.83,0.21
749,0.87,0.22
750,0.9,0.21
751,0.85,0.21
752,0.86,0.22
753,0.96,0.22
754,0.92,0.22
755,0.87,0.22
756,0.89,0.22
757,0.95,0.21
758,0.93,0.22
759,0.94,0.22
760,0.94,0.22
761,0.89,0.27
762,0.89,0.26
763,0.87,0.22
764,0.85,0.21
765,0.84,0.22
766,0.82,0.22
767,0.83,0.25
768,0.88,0.21
769,0.84,0.22
770,0.82,0.21
771,0.81,0.21
772,0.82,0.22
773,0.85,0.22
774,0.81,0.22
775,1.01,0.22
776,0.81,0.21
777,0.78,0.22
778,0.78,0.21
779,0.79,0.21
780,0.77,0.21
781,0.76,0.21
782,0.78,0.22
783,0.81,0.22
784,0.81,0.21
785,0.8,0.21
786,0.81,0.22
787,0.77,0.21
788,0.81,0.21
789,0.78,0.21
790,0.79,0.21
791,0.79,0.21
792,0.8,0.21
793,0.79,0.22
794,0.79,0.21
795,0.79,0.21
796,0.81,0.22
797,0.8,0.22
798,0.8,0.22
799,0.8,0.22
800,0.81,0.22
801,0.8,0.22
802,0.82,0.21
803,0.8,0.22
804,0.79,0.22
805,0.84,0.22
806,0.86,0.23
807,0.8,0.21
808,0.87,0.22
809,0.8,0.22
810,0.8,0.22
811,0.84,0.25
812,0.84,0.22
813,0.81,0.22
814,0.81,0.26
815,0.81,0.21
816,0.82,0.22
817,0.83,0.21
818,0.83,0.22
819,0.82,0.22
820,0.81,0.21
821,0.85,0.22
822,0.82,0.22
823,0.8,0.22
824,0.84,0.22
825,0.81,0.22
826,0.81,0.22
827,0.8,0.22
828,0.83,0.25
829,0.8,0.22
830,0.81,0.21
831,0.83,0.22
832,0.8,0.22
833,0.8,0.22
834,0.8,0.22
835,0.74,0.25
836,0.9,3.19
837,0.81,0.22
838,0.75,0.23
839,0.71,2.17
840,0.84,0.21
841,0.88,0.21
842,0.85,0.22
843,0.85,0.22
844,0.85,0.25
845,0.83,0.22
846,0.84,0.22
847,0.83,0.21
848,0.83,0.22
849,0.83,0.22
850,0.82,0.21
851,0.82,0.22
852,0.82,0.23
853,0.81,0.26
854,0.86,0.22
855,0.83,0.22
856,0.83,0.22
857,0.84,0.22
858,0.86,0.22
859,0.85,0.22
860,0.88,0.22
861,0.84,0.22
862,0.85,0.29
863,0.83,0.25
864,0.88,0.21
865,0.9,0.21
866,0.83,0.22
867,0.83,0.25
868,0.86,0.22
869,0.87,0.22
870,0.82,0.22
871,0.83,0.22
872,0.82,0.22
873,0.82,0.22
874,0.87,0.22
875,0.85,0.22
876,0.82,0.22
877,0.83,0.22
878,0.86,0.22
879,0.87,0.24
880,0.84,0.22
881,0.83,0.22
882,0.82,0.22
883,0.83,0.22
884,0.87,0.22
885,0.83,0.22
886,0.83,0.22
887,0.84,0.22
888,0.86,0.22
889,0.84,0.22
890,0.83,0.22
891,0.83,0.22
892,0.85,0.22
893,0.81,0.22
894,0.81,0.22
895,0.83,0.22
896,0.81,0.22
897,0.82,0.22
898,0.82,0.22
899,0.85,0.22
900,0.83,0.22
901,0.83,0.22
902,0.85,0.22
903,0.82,0.22
904,0.83,0.22
905,0.81,0.22
906,0.81,0.22
907,0.81,0.22
908,0.81,0.22
909,0.81,0.22
910,0.81,0.22
911,0.82,0.22
912,0.86,0.39
913,0.83,0.22
914,0.85,0.23
915,0.84,0.22
916,0.84,0.26
917,0.82,0.22
918,0.82,0.22
919,0.84,0.22
920,0.88,0.22
921,0.85,0.22
922,0.83,0.22
923,0.83,0.22
924,0.82,0.22
925,0.82,0.26
926,0.83,0.22
927,0.82,0.22
928,0.81,0.22
929,0.8,0.22
930,0.8,0.22
931,0.7,0.24
932,0.79,0.21
933,0.72,0.23
934,0.75,2.25
935,0.81,0.22
936,0.74,0.23
937,0.73,1.74
938,0.8,0.21
939,0.8,0.22
940,0.84,0.22
941,0.82,0.21
942,0.83,0.22
943,0.8,0.23
944,0.83,0.22
945,0.85,0.22
946,0.84,0.22
947,0.81,0.22
948,0.82,0.22
949,0.81,0.22
950,0.8,0.22
951,0.8,0.22
952,0.86,0.22
953,0.87,0.22
954,0.83,0.21
955,0.83,0.22
956,0.82,0.22
957,0.82,0.22
958,0.86,0.22
959,0.88,0.25
960,0.87,0.22
961,0.85,0.22
962,0.87,0.22
963,0.86,0.34
964,0.92,0.22
965,0.91,0.22
966,0.88,0.45
967,0.88,0.22
968,0.9,0.26
969,0.92,0.22
970,0.91,0.22
971,0.97,2.28
972,0.92,0.21
973,0.97,0.22
974,0.99,0.22
975,0.92,0.22
976,0.92,0.22
977,0.98,0.22
978,0.92,0.24
979,0.93,0.22
980,0.93,0.21
981,0.96,0.21
982,0.92,0.35
983,0.92,0.21
984,0.91,0.22
