sample_index,elapsed_hours,ram_mb,cpu_percent,ram_linear_trend_mb
443,110.75,6761.34,25.0,6741.36
444,111.0,6761.33,0.0,6741.36
445,111.25,6761.33,0.0,6741.36
446,111.5,6761.32,25.0,6741.36
447,111.75,6761.32,25.0,6741.36
448,112.0,6761.31,0.0,6741.36
449,112.25,6761.31,0.0,6741.36
450,112.5,6761.3,0.0,6741.36
451,112.75,6761.3,25.0,6741.36
452,113.0,6761.3,33.3,6741.36
453,113.25,6761.29,0.0,6741.36
454,113.5,6761.29,33.3,6741.36
455,113.75,6761.29,33.3,6741.37
456,114.0,6761.29,0.0,6741.37
457,114.25,6761.28,0.0,6741.37
458,114.5,6761.27,0.0,6741.37
459,114.75,6761.27,40.0,6741.37
460,115.0,6761.27,0.0,6741.37
461,115.25,6761.26,40.0,6741.37
462,115.5,6761.26,0.0,6741.37
463,115.75,6761.25,0.0,6741.37
464,116.0,6761.25,0.0,6741.37
465,116.25,6761.24,25.0,6741.37
466,116.5,6761.24,0.0,6741.37
467,116.75,6761.23,25.0,6741.37
468,117.0,6761.23,20.0,6741.37
469,117.25,6761.22,0.0,6741.37
470,117.5,6761.21,20.0,6741.37
471,117.75,6761.21,33.3,6741.37
472,118.0,6761.21,0.0,6741.38
473,118.25,6761.2,0.0,6741.38
474,118.5,6761.2,33.3,6741.38
475,118.75,6761.2,20.0,6741.38
476,119.0,6761.19,33.3,6741.38
477,119.25,6761.18,0.0,6741.38
478,119.5,6761.18,50.0,6741.38
479,119.75,6761.18,0.0,6741.38
480,120.0,6761.15,11.8,6741.38
481,120.25,6760.99,0.0,6741.38
482,120.5,6760.99,0.0,6741.38
483,120.75,6760.99,0.0,6741.38
484,121.0,6760.99,100.0,6741.38
485,121.25,6760.99,0.0,6741.38
486,121.5,6760.88,0.0,6741.38
487,121.75,6760.87,50.0,6741.38
488,122.0,6760.86,0.0,6741.39
489,122.25,6760.86,33.3,6741.39
490,122.5,6760.73,1.1,6741.39
491,122.75,6760.73,50.0,6741.39
492,123.0,6760.72,0.0,6741.39
493,123.25,6760.71,25.0,6741.39
494,123.5,6760.71,0.0,6741.39
495,123.75,6760.7,0.0,6741.39
496,124.0,6760.7,50.0,6741.39
497,124.25,6760.7,0.0,6741.39
498,124.5,6760.69,0.0,6741.39
499,124.75,6760.68,50.0,6741.39
500,125.0,6760.68,25.0,6741.39
501,125.25,6760.68,33.3,6741.39
502,125.5,6760.67,0.0,6741.39
503,125.75,6760.67,0.0,6741.39
504,126.0,6760.66,25.0,6741.39
505,126.25,6760.66,40.0,6741.4
506,126.5,6760.65,0.0,6741.4
507,126.75,6760.65,0.0,6741.4
508,127.0,6760.65,20.0,6741.4
509,127.25,6760.64,0.0,6741.4
510,127.5,6760.64,0.0,6741.4
511,127.75,6760.64,0.0,6741.4
512,128.0,6760.63,33.3,6741.4
513,128.25,6760.63,14.3,6741.4
514,128.5,6760.63,33.3,6741.4
515,128.75,6760.62,25.0,6741.4
516,129.0,6760.62,0.0,6741.4
517,129.25,6760.62,0.0,6741.4
518,129.5,6760.62,0.0,6741.4
519,129.75,6760.62,20.0,6741.4
520,130.0,6760.62,0.0,6741.4
521,130.25,6760.61,0.0,6741.41
522,130.5,6760.61,50.0,6741.41
523,130.75,6760.6,40.0,6741.41
524,131.0,6760.59,0.0,6741.41
525,131.25,6760.59,25.0,6741.41
526,131.5,6760.59,20.0,6741.41
527,131.75,6756.25,50.0,6741.41
528,132.0,6755.64,0.0,6741.41
529,132.25,6755.63,0.0,6741.41
530,132.5,6755.56,6.3,6741.41
531,132.75,6755.55,25.0,6741.41
532,133.0,6755.55,0.0,6741.41
533,133.25,6755.55,0.0,6741.41
534,133.5,6755.55,0.0,6741.41
535,133.75,6755.54,0.0,6741.41
536,134.0,6755.54,33.3,6741.41
537,134.25,6755.53,20.0,6741.41
538,134.5,6755.53,25.0,6741.42
539,134.75,6755.52,0.0,6741.42
540,135.0,6755.52,33.3,6741.42
541,135.25,6755.51,0.0,6741.42
542,135.5,6755.51,0.0,6741.42
543,135.75,6755.5,0.0,6741.42
544,136.0,6755.5,33.3,6741.42
545,136.25,6755.5,25.0,6741.42
546,136.5,6755.49,0.0,6741.42
547,136.75,6755.49,50.0,6741.42
548,137.0,6755.48,0.0,6741.42
549,137.25,6755.47,0.0,6741.42
550,137.5,6755.47,40.0,6741.42
551,137.75,6755.46,0.0,6741.42
552,138.0,6755.46,20.0,6741.42
553,138.25,6755.46,0.0,6741.42
554,138.5,6755.45,33.3,6741.42
555,138.75,6755.45,33.3,6741.43
556,139.0,6755.45,0.0,6741.43
557,139.25,6755.45,33.3,6741.43
558,139.5,6755.44,0.0,6741.43
559,139.75,6755.44,0.0,6741.43
560,140.0,6755.43,0.0,6741.43
561,140.25,6755.43,25.0,6741.43
562,140.5,6755.43,0.0,6741.43
563,140.75,6755.43,0.0,6741.43
564,141.0,6755.43,0.0,6741.43
565,141.25,6755.42,20.0,6741.43
566,141.5,6755.41,50.0,6741.43
567,141.75,6755.41,20.0,6741.43
568,142.0,6755.41,0.0,6741.43
569,142.25,6755.41,0.0,6741.43
570,142.5,6755.41,20.0,6741.43
571,142.75,6755.64,33.3,6741.44
572,143.0,6755.64,40.0,6741.44
573,143.25,6755.64,0.0,6741.44
574,143.5,6755.63,20.0,6741.44
575,143.75,6755.62,40.0,6741.44
576,144.0,6755.59,0.0,6741.44
577,144.25,6755.59,0.0,6741.44
578,144.5,6755.59,100.0,6741.44
579,144.75,6755.59,0.0,6741.44
580,145.0,6755.59,0.0,6741.44
581,145.25,6755.58,0.0,6741.44
582,145.5,6755.58,50.0,6741.44
583,145.75,6755.79,50.0,6741.44
584,146.0,6755.82,50.0,6741.44
585,146.25,6756.25,40.0,6741.44
586,146.5,6756.54,50.0,6741.44
587,146.75,6756.66,20.0,6741.44
588,147.0,6756.66,25.0,6741.45
589,147.25,6756.66,50.0,6741.45
590,147.5,6756.7,0.0,6741.45
591,147.75,6756.7,33.3,6741.45
592,148.0,6756.68,40.0,6741.45
593,148.25,6756.67,0.0,6741.45
594,148.5,6756.66,0.0,6741.45
